DATE,XSP.TO_R,XIU.TO_R,XIN.TO_R,XBB.TO_R,XGB.TO_R,XRB.TO_R,XRE.TO_R,SPY_R,QQQ_R,VWO_R,EWC_R,EFA_R,VGK_R,IOO_R,SHY_R,IEF_R,TIP_R,IYR_R
2017-01-01,0.02618917,0.011483938,0.014192903,-0.001568037,-0.003970222,-0.01369978,-1.61E-05,0.023894312,0.0545103,0.062676084,0.049775248,0.043591342,0.034546629,0.024942517,0.002383193,0.005208728,0.011099181,0.01534406
2017-04-01,0.009611734,0.006081463,0.013787581,0.014436493,0.013560588,0.016182391,0.013794901,0.014319968,0.029406712,0.017416849,-0.023065561,0.024241357,0.044610067,0.014803108,0.001823375,0.010952789,0.00314004,0.015235923
2017-07-01,0.025911056,0.000891673,0.015948293,-0.017767801,-0.019686093,-0.015736453,-0.013857577,0.025531168,0.043447961,0.060008693,0.051086943,0.043152932,0.042862645,0.035522959,0.001823042,0.00378495,0.004287023,0.020155624
2017-10-01,0.024356356,0.031101429,0.032495134,0.01557899,0.016189139,0.020119887,0.020800726,0.028643744,0.048353694,0.036334267,-0.00518309,0.016793191,0.008616306,0.032188459,-0.000926747,-0.001885673,0.004013121,0.009049403
2018-01-01,0.063066122,-0.014906876,0.023479251,-0.008906927,-0.01012138,-0.000585486,0.000662866,0.061758623,0.089844979,0.090760325,0.021003986,0.061344327,0.061946234,0.060172917,-0.000804783,-0.018487142,-0.002736337,-0.019960653
2018-04-01,0.002334071,0.015740902,0.036790661,-0.006405765,-0.012478703,-0.00660337,-0.000698661,0.009193979,0.006688777,-0.0257811,0.020682214,0.015212581,0.026484994,0.010409677,-0.002442559,-0.012903345,-0.003892236,0.010565134
2018-07-01,0.043142613,0.01441492,0.044815487,-0.008367163,-0.008788299,-0.007538441,0.012562788,0.041703022,0.030164055,0.046547139,0.032578288,0.048955807,0.054516887,0.056864693,-0.000650009,-0.005160643,-0.006156561,0.018126273
2018-10-01,-0.069258855,-0.058479564,-0.064455497,-0.007185993,-0.007033574,-0.020425092,-0.01616643,-0.064890344,-0.0843123,-0.065904304,-0.078874283,-0.081335626,-0.075401379,-0.058184818,0.001454023,-0.003039435,-0.012690964,-0.014274417
2019-01-01,0.088257706,0.084644073,0.071913743,0.01496645,0.010076331,0.02460669,0.075307315,0.086372746,0.093226555,0.104139279,0.147849498,0.077813715,0.073821178,0.074822209,0.005659507,0.010719609,0.017399731,0.121347416
2019-04-01,0.039506958,0.03807953,0.03476568,-0.000522282,-0.003067803,0.002030205,-0.033408843,0.045437117,0.056912838,0.023417058,0.032923325,0.029293775,0.04513614,0.039958024,0.001722992,-0.005317169,0.002210896,0.006658148
2019-07-01,0.021832285,0.002839708,0.019178296,0.000433417,0.001028348,0.009394535,0.015230397,0.020056823,0.025610734,-0.011337725,0.001001897,0.001678961,-0.00849864,0.017130578,-0.000479258,0.00059357,0.003397682,0.031693002
2019-10-01,0.021180014,-0.010338101,0.015489194,-0.001750388,-0.001704026,-0.006311612,-0.003798086,0.026824751,0.045905523,0.052609882,-0.004152203,0.033890376,0.044645768,0.029726868,0.003254328,0.002025519,-0.001477208,0.014888324
2020-01-01,0.009262392,0.020344276,-0.007855461,0.026658949,0.029154258,0.055214975,0.053142994,0.004510831,0.032618272,-0.043354864,0.005994131,-0.017278352,-0.025348048,0.01198601,0.009015363,0.037610623,0.02323095,0.026041475
2020-04-01,0.124025503,0.092978089,0.055892055,0.052749761,0.032463591,0.051802699,0.06188342,0.133610652,0.152187542,0.080105504,0.111212691,0.058174334,0.071485528,0.11083751,0.002962356,0.002761217,0.028748193,0.103691077
2020-07-01,0.064592962,0.041189026,-0.010238385,0.014390197,0.011574375,0.057262568,0.012594576,0.063551937,0.075332065,0.090493538,0.065964436,0.033856221,0.043714881,0.055187549,0.001039414,0.008640183,0.023252071,0.048155141
2020-10-01,-0.024732029,-0.034864673,-0.03485025,-0.008660827,-0.008086266,-0.005143292,-0.023549349,-0.021030412,-0.030449237,0.02306026,-0.034294055,-0.035506681,-0.048867896,-0.0310835,-0.000358951,-0.013733326,-0.010039568,-0.023295502
2021-01-01,-0.004031076,-0.001917911,0.009474088,-0.013137929,-0.012872483,-0.013501727,0.003218236,-0.005971209,0.004430992,0.0375735,0.004522759,0.001819806,0.003491135,0.007215931,0.000984394,-0.009660311,0.003901214,0.002850991
2021-04-01,0.050629968,0.023049628,0.0110231,0.000276561,0.00132142,-0.020000002,0.046759243,0.05635895,0.060435815,0.019179814,0.045815076,0.029524228,0.052289322,0.048780425,0.000602847,0.009997018,0.0118725,0.084178939
