DATE,SPY_R,QQQ_R,VWO_R,EWC_R,EFA_R,VGK_R,IOO_R,SHY_R,IEF_R,TIP_R,IYR_R
2011-11-01,-0.004063777,-0.026919773,-0.017096153,-0.027620595,-0.021764017,-0.028658608,-0.017517197,0.000462204,0.005787334,0.003665095,-0.036687573
2011-12-01,0.004080359,-0.009930754,-0.063938851,-0.031318021,-0.033372641,-0.066892178,-0.006685944,9.44959E-05,0.018129206,0.002670568,0.030286361
2012-01-01,0.053010589,0.088333141,0.134249036,0.071660396,0.065353416,0.103718692,0.05760997,0.00182348,0.012395081,0.024996805,0.07717106
2012-02-01,0.043405622,0.064100646,0.054334546,0.032372631,0.048331364,0.054246033,0.03798501,-0.001773689,-0.012772427,-0.005781023,-0.006935255
2012-03-01,0.027660243,0.048750249,-0.025990995,-0.02343207,0.004207834,0.000650934,0.011774223,-0.000817705,-0.015737782,-0.008594676,0.035916052
2012-04-01,-0.002322532,-0.010017396,-0.020934104,0.000705902,-0.020768833,-0.024951155,-0.019814422,0.002075412,0.024992028,0.015044254,0.034768858
2012-05-01,-0.060055695,-0.070401473,-0.106673037,-0.107193264,-0.111441676,-0.119714973,-0.08952365,0.000592907,0.028823686,0.018631711,-0.04209063
2012-06-01,0.035217104,0.033838279,0.050236566,0.020537162,0.046063519,0.082659213,0.038061811,-0.00097106,-0.00412879,-0.009739286,0.044430161
2012-07-01,0.017072002,0.012296392,0.002003219,0.025827075,0.024115555,0.003268693,0.026371455,0.002228677,0.014105179,0.021305374,0.032339148
2012-08-01,0.025052501,0.051851822,0.00249972,0.046025022,0.032000043,0.046776634,0.022570051,7.1424E-05,-0.001172565,0.000488318,0.003056792
2012-09-01,0.019906884,0.006015529,0.040139605,0.036000038,0.027131759,0.006224907,0.027837301,0.000190125,-0.003385689,0.005118053,-0.019046646
2012-10-01,-0.012957371,-0.050091942,0.006881092,0,0.01094344,0.041051306,0.002083424,-0.000663357,-0.003875247,0.006241831,0.002072405
2012-11-01,0.005659781,0.013087386,0.012774323,-0.013338075,0.027808865,0.024750041,0.005437457,0.000496748,0.00974767,0.003183152,-0.005781183
2012-12-01,0.001829029,-0.0101824,0.059733764,0.010316816,0.032504293,0.034746013,0.017337151,-0.000236234,-0.010711209,-0.00984429,0.01634426
2013-01-01,0.058646031,0.032434107,0.011001668,0.030118568,0.048644263,0.051170586,0.062889387,0.000603624,-0.010297022,-0.001174146,0.053007918
2013-02-01,0.012758216,0.003439323,-0.023564061,-0.022514859,-0.012885761,-0.033968141,-0.010263067,0.000355686,0.009990713,0.001904552,0.012635954
2013-03-01,0.033375568,0.027868867,-0.014019534,0.010276398,0.013053972,-0.001422862,0.018785788,0.000367177,0.00300312,0.002148459,0.019964686
2013-04-01,0.023745318,0.027746319,0.021448557,-0.017186852,0.050186523,0.050438344,0.035993512,0.00068724,0.015084207,0.007256526,0.066285159
2013-05-01,0.023609722,0.035774745,-0.050731418,-0.010349829,-0.030190499,0.000194708,0.006264802,-0.001325555,-0.030942796,-0.043741077,-0.064933038
2013-06-01,-0.01853749,-0.027030108,-0.06620092,-0.056977905,-0.046113059,-0.063072016,-0.044007249,-0.000983962,-0.025566894,-0.037985929,-0.032901575
2013-07-01,0.057241944,0.066503102,0.020604197,0.068952645,0.074575843,0.097557095,0.066137861,0.001625098,-0.003534829,0.010213976,0.011814141
2013-08-01,-0.029992809,-0.003959108,-0.034306181,-0.00868637,-0.019552575,-0.014671621,-0.029067569,-0.000983529,-0.014251431,-0.017564585,-0.06532514
2013-09-01,0.026642357,0.045183389,0.063891916,0.033588778,0.07824896,0.067789925,0.045487717,0.002230211,0.018338386,0.01724636,0.024903539
2013-10-01,0.051406741,0.052720516,0.052046427,0.037089457,0.032601866,0.045704171,0.042952403,0.000688043,0.007783112,0.003953782,0.047024136
2013-11-01,0.02963771,0.035511335,-0.009314695,-0.009196163,0.005464371,0.010214854,0.021457979,0.000922994,-0.008831096,-0.011188068,-0.046395618
2013-12-01,0.020386757,0.02601208,-0.008196667,0.002406253,0.012983321,0.025104591,0.007828854,-0.002022078,-0.02256133,-0.014291095,-0.000316509
2014-01-01,-0.030010655,-0.016097899,-0.079405954,-0.028970697,-0.043796814,-0.041750603,-0.039825891,0.002489253,0.033997869,0.021842926,0.044089711
2014-02-01,0.045515814,0.047177289,0.032386792,0.044754835,0.06131111,0.073427137,0.050932961,0.000118084,0.001858216,0.004366863,0.047509313
2014-03-01,0.003865227,-0.025526289,0.043455737,0.012679859,-0.004591942,-0.021252061,0.008941594,-0.001029174,-0.005519968,-0.005323831,-0.00994861
2014-04-01,0.011395444,-0.000914561,0.011595827,0.033502576,0.016666601,0.042155543,0.020934648,0.00104182,0.007332573,0.013202372,0.042158077
2014-05-01,0.023206225,0.044856557,0.031020974,0.005239003,0.01595464,0.007767313,0.007547863,0.001787662,0.018225096,0.017696687,0.027969069
2014-06-01,0.01577776,0.028474654,0.021795851,0.049185577,-0.014983564,-0.016890814,-0.016855784,-0.000815298,-0.001954853,0.000282626,0.001674524
2014-07-01,-0.008710347,0.014538399,0.023535258,0.005883512,-0.002115498,-0.027626858,0.005553463,-0.000793325,-0.002375598,0.001776018,0.00731365
2014-08-01,0.039463476,0.050094837,0.038426262,0.021766193,0.001802264,0.007321849,0.023036277,0.001835965,0.018755234,0.005958195,0.03472273
2014-09-01,-0.018384572,-0.009921947,-0.08127772,-0.066037773,-0.038824772,-0.044305718,-0.019987452,-0.000744552,-0.010321368,-0.024570233,-0.067385256
2014-10-01,0.028335199,0.028861774,0.033001208,-0.025089597,-0.002651211,-0.014338034,0.000903487,0.002579946,0.015262641,0.010713579,0.093377698
2014-11-01,0.027472052,0.045463471,-0.011022353,0.000668556,0.000625434,0.02067571,0.022569221,0.001063581,0.012987869,0.001591665,0.027207338
2014-12-01,-0.008011578,-0.026035275,-0.050984267,-0.036072265,-0.049226629,-0.052089022,-0.038718877,-0.003315779,-0.000160177,-0.0110364,-0.002336933
2015-01-01,-0.024273611,-0.017174898,0.002397817,-0.070868748,0.016087307,0.010655051,-0.015671326,0.007013772,0.046344055,0.032865778,0.068137842
2015-02-01,0.056204606,0.072205879,0.046569983,0.059757817,0.063377925,0.06093416,0.058396293,-0.003294672,-0.026323047,-0.012886148,-0.025975117
2015-03-01,-0.020079783,-0.025830274,-0.022248808,-0.02997846,-0.014285602,-0.029880142,-0.022120514,0.002514387,0.008628468,-0.00481857,0.002526862
2015-04-01,0.014341469,0.02156746,0.076000867,0.071375958,0.036465625,0.04833011,0.027820991,0.000248203,-0.006365276,0.006778871,-0.040357024
2015-05-01,0.012856114,0.022484533,-0.035535429,-0.046016503,0.001954589,0.00283086,0.001264946,0.000436176,-0.004064906,-0.010055875,-0.003311359
2015-06-01,-0.025054452,-0.027078696,-0.034482428,-0.039956902,-0.047268714,-0.047635838,-0.049267426,0.000294804,-0.016372883,-0.010246698,-0.052491456
2015-07-01,0.027563539,0.047982514,-0.053931906,-0.034627677,0.037545697,0.042748383,0.031720672,0.000436147,0.015222622,0.005354968,0.058937757
2015-08-01,-0.060950164,-0.068244666,-0.09864294,-0.050097597,-0.074251216,-0.070191585,-0.068473386,-0.000495029,0.000792147,-0.009498469,-0.058131718
2015-09-01,-0.030555958,-0.024446242,-0.041980393,-0.052328146,-0.044188848,-0.045604333,-0.027547398,0.00292575,0.015762567,-0.007976581,0.006668532
2015-10-01,0.09070085,0.116408319,0.06735307,0.034782609,0.066120009,0.063855069,0.09119814,-0.001411503,-0.006320031,0.005213978,0.07216435
2015-11-01,0.003655111,0.006088273,-0.022961819,-0.022268725,-0.007527383,-0.012480641,-0.003841081,-0.002595279,-0.004279656,-0.000882048,-0.00199069
2015-12-01,-0.023096588,-0.01894387,-0.039071937,-0.07606368,-0.031821935,-0.030138126,-0.031644458,-0.002000821,-0.006098875,-0.010108502,-0.001728348
2016-01-01,-0.044131505,-0.066261263,-0.052860773,-0.0142252,-0.046879204,-0.051650108,-0.043207853,0.007520974,0.03654605,0.01568203,-0.028744632
2016-02-01,-0.0008259,-0.015653529,-0.003243538,0.034433226,-0.033345248,-0.032264687,-0.021767368,0.000588609,0.013381184,0.012208457,-0.007500202
2016-03-01,0.061789718,0.065365643,0.12528471,0.096162741,0.065821274,0.064268431,0.066903855,0.001354961,-0.00062414,0.016672443,0.089560861
2016-04-01,0.009119038,-0.028996162,0.011847121,0.071278029,0.022218351,0.033413291,0.005422611,0.000317972,-0.001663718,0.002093286,-0.004973322
2016-05-01,0.01701161,0.043700108,-0.032350206,-0.036220647,-0.00085571,-0.005013968,0.009957142,-0.001165461,-0.000933113,-0.006440934,0.022074561
